Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code
NW10 6AD,Yes,51.531456,-0.236413,522427,182868,TQ224828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,40,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AE,No,51.531749,-0.236791,522400,182900,TQ223828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1996-12-01,41,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6AF,No,51.530727,-0.233428,522636,182792,TQ226827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2000-06-01,2012-12-01,43,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AG,Yes,51.532186,-0.235318,522501,182951,TQ225829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,43,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AH,Yes,51.531883,-0.236094,522448,182916,TQ224829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,42,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AJ,Yes,51.531969,-0.23524,522507,182927,TQ225829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,43,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AL,Yes,51.531694,-0.235496,522490,182896,TQ224828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,42,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AN,Yes,51.531486,-0.236037,522453,182872,TQ224828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,41,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AP,Yes,51.531398,-0.235565,522486,182863,TQ224828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,42,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AR,Yes,51.531179,-0.235328,522503,182839,TQ225828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,42,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AS,Yes,51.531045,-0.235982,522458,182823,TQ224828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,40,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AT,Yes,51.530748,-0.235402,522499,182791,TQ224827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,40,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AU,Yes,51.5305,-0.235037,522525,182764,TQ225827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,39,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AW,Yes,51.530386,-0.233484,522633,182754,TQ226827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2000-06-01,,42,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AX,Yes,51.530713,-0.234279,522577,182789,TQ225827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,42,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AY,Yes,51.531121,-0.233917,522601,182835,TQ226828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,44,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AZ,No,51.530785,-0.232503,522700,182800,TQ227827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1991-09-01,1996-12-01,45,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6BA,Yes,51.531008,-0.233576,522625,182823,TQ226828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,44,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BD,Yes,51.530654,-0.233205,522652,182784,TQ226827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,43,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BE,Yes,51.530948,-0.233131,522656,182817,TQ226828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,44,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BG,Yes,51.531443,-0.232578,522693,182873,TQ226828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,46,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BH,No,51.531363,-0.233245,522647,182863,TQ226828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,2009-02-01,45,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BJ,Yes,51.531259,-0.232932,522669,182852,TQ226828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,45,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BL,Yes,51.531833,-0.233428,522633,182915,TQ226829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,46,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BN,Yes,51.53175,-0.233835,522605,182905,TQ226829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,45,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BP,No,51.53222,-0.234033,522590,182957,TQ225829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,2015-02-01,45,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BQ,No,51.530829,-0.235385,522500,182800,TQ224827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1994-05-01,40,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6BR,Yes,51.53102,-0.232566,522695,182826,TQ226828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1991-09-01,,45,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BS,No,51.53237,-0.234431,522562,182973,TQ225829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,2003-03-01,45,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BT,Yes,51.532173,-0.234511,522557,182951,TQ225829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,45,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BU,Yes,51.531334,-0.234327,522572,182858,TQ225828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,43,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BW,No,51.531706,-0.233909,522600,182900,TQ226828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1986-04-01,1995-07-01,45,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6BX,Yes,51.531107,-0.234754,522543,182832,TQ225828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,42,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6BY,No,51.530829,-0.235385,522500,182800,TQ224827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1995-07-01,40,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6BZ,Yes,51.530413,-0.232849,522677,182758,TQ226827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1991-09-01,,43,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6DA,No,51.530829,-0.235385,522500,182800,TQ224827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1995-07-01,40,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6DQ,No,51.526576,-0.248005,521636,182306,TQ216823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1986-04-01,2014-05-01,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6DT,Yes,51.52698,-0.250368,521471,182347,TQ214823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,36,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6DU,No,51.527289,-0.248813,521578,182384,TQ215823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1986-04-01,2012-12-01,34,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6DW,Yes,51.527289,-0.248813,521578,182384,TQ215823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2002-06-01,,34,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6DX,Yes,51.526575,-0.250974,521430,182301,TQ214823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1995-12-01,,36,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6DZ,Yes,51.523464,-0.250292,521486,181956,TQ214819,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1996-12-01,,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6LR,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1995-01-01,1998-12-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6PP,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1998-12-01,2000-06-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6PY,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1995-07-01,2000-09-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6QE,Yes,51.526216,-0.234194,522595,182289,TQ225822,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2007-01-01,,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6QR,No,51.5315,-0.23755,522348,182871,TQ223828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2007-12-01,2008-01-01,39,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6QT,No,51.525436,-0.235593,522500,182200,TQ225821,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1990-02-01,1991-12-01,28,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6QU,Yes,51.52789,-0.235359,522510,182473,TQ225824,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,35,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6QW,No,51.528507,-0.235878,522472,182541,TQ224825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1990-02-01,2015-02-01,36,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6QX,No,51.524459,-0.232791,522697,182096,TQ226820,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,2004-02-01,25,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001874
NW10 6QY,Yes,51.526443,-0.234838,522550,182313,TQ225823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6RA,Yes,51.529769,-0.237271,522372,182679,TQ223826,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,36,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6RB,Yes,51.5315,-0.23755,522348,182871,TQ223828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,39,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6RD,No,51.529952,-0.23686,522400,182700,TQ224826,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1986-04-01,1995-12-01,37,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6RE,Yes,51.529383,-0.23719,522379,182636,TQ223826,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1991-01-01,,36,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6RF,Yes,51.528462,-0.236332,522441,182535,TQ224825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1991-01-01,,36,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6RG,No,51.528154,-0.23693,522400,182500,TQ223824,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1981-12-01,35,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6RH,Yes,51.523919,-0.232178,522741,182037,TQ227820,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1997-12-01,,24,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001874
NW10 6RJ,Yes,51.528556,-0.245723,521789,182530,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1982-03-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6RL,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1998-06-01,1999-12-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6RN,No,51.528241,-0.242693,522000,182500,TQ220824,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1993-08-01,1995-01-01,32,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6RP,No,51.528241,-0.242693,522000,182500,TQ220824,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1995-01-01,32,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6RQ,No,51.528154,-0.23693,522400,182500,TQ223824,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1995-01-01,1996-12-01,35,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6RR,Yes,51.52746,-0.23798,522329,182421,TQ223824,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6RS,Yes,51.526491,-0.239978,522193,182310,TQ221823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6RT,Yes,51.528529,-0.244499,521874,182529,TQ218825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6RU,No,51.527342,-0.242728,522000,182400,TQ219823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1981-12-01,31,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6RX,No,51.527364,-0.244169,521900,182400,TQ218824,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1995-07-01,30,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6RY,No,51.527364,-0.244169,521900,182400,TQ218824,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1993-08-01,1995-07-01,30,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6SA,No,51.526422,-0.241322,522100,182300,TQ220822,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1983-12-01,31,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6SB,No,51.528154,-0.23693,522400,182500,TQ223824,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1988-12-01,35,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6SF,Yes,51.527238,-0.235798,522481,182400,TQ224823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,34,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6SG,No,51.527342,-0.242728,522000,182400,TQ219823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1986-12-01,31,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6SH,No,51.528154,-0.23693,522400,182500,TQ223824,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1990-12-01,35,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6UF,Yes,51.529481,-0.242054,522041,182639,TQ220826,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1987-04-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6UG,Yes,51.52885,-0.242569,522007,182568,TQ220825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1987-04-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6UH,No,51.527299,-0.239846,522200,182400,TQ222823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1990-12-01,32,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6UJ,No,51.527342,-0.242728,522000,182400,TQ219823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1994-05-01,31,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6UL,No,51.52732,-0.241287,522100,182400,TQ220823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1984-10-01,1994-05-01,33,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6UN,Yes,51.528254,-0.240602,522145,182505,TQ221825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1984-10-01,,34,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6UW,No,51.527299,-0.239846,522200,182400,TQ222823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1988-12-01,32,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6WE,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1995-12-01,2000-06-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6WG,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1996-06-01,1998-12-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6WJ,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1996-12-01,2000-09-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6WN,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1997-06-01,2000-09-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6WP,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1997-12-01,1999-12-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6WR,No,51.527299,-0.239846,522200,182400,TQ222823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1997-12-01,1998-06-01,32,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6WS,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1998-06-01,1999-12-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6ZB,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1999-06-01,2000-06-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6ZD,No,51.527299,-0.239846,522200,182400,TQ222823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1999-06-01,1999-12-01,32,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6ZF,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1999-12-01,2001-05-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6ZH,No,51.527299,-0.239846,522200,182400,TQ222823,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2000-02-01,2000-09-01,32,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6ZJ,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2000-06-01,2001-07-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6ZL,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2000-06-01,2001-04-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
NW10 6ZQ,No,51.528389,-0.246594,521729,182510,TQ217825,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2000-06-01,2001-06-01,32,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001877
SW10 0AA,Yes,51.477517,-0.17973,526508,176966,TQ265769,"Sands End","Hammersmith and Fulham, unparished area",2018-01-01,,4,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001939
SW10 0BD,Yes,51.475511,-0.182656,526310,176738,TQ263767,"Sands End","Hammersmith and Fulham, unparished area",2013-11-01,,12,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001939
SW10 0BE,Yes,51.477598,-0.180259,526471,176974,TQ264769,"Sands End","Hammersmith and Fulham, unparished area",2018-04-01,,5,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001939
SW10 0BF,Yes,51.477279,-0.180574,526450,176938,TQ264769,"Sands End","Hammersmith and Fulham, unparished area",2018-04-01,,5,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001939
SW10 0DD,Yes,51.476739,-0.179977,526493,176879,TQ264768,"Sands End","Hammersmith and Fulham, unparished area",2017-11-01,,5,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001939
SW10 0FA,Yes,51.476922,-0.183723,526232,176893,TQ262768,"Sands End","Hammersmith and Fulham, unparished area",2015-02-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001939
SW10 0HG,Yes,51.476923,-0.183699,526234,176893,TQ262768,"Sands End","Hammersmith and Fulham, unparished area",2018-11-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001939
SW10 0HQ,Yes,51.476923,-0.183699,526234,176893,TQ262768,"Sands End","Hammersmith and Fulham, unparished area",2018-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001939
SW10 0HW,Yes,51.476923,-0.183699,526234,176893,TQ262768,"Sands End","Hammersmith and Fulham, unparished area",2018-04-01,,10,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001939
SW10 0JR,Yes,51.477059,-0.182052,526348,176911,TQ263769,"Sands End","Hammersmith and Fulham, unparished area",2017-09-01,,10,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001939
