Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code
SW3 1AQ,No,51.50092,-0.161618,527700,179600,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1990-02-01,1991-12-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,8,1,2019-11-23,"Knightsbridge",0.0817658,SW,SW3,"Metropolitan Police","",9C3XGR2Q+99
SW3 1AR,Yes,51.5003,-0.161643,527700,179531,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",7,5,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,22,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.135359,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+48
SW3 1AS,Yes,51.499908,-0.161764,527693,179487,TQ276794,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",3,2,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,22,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.177861,SW,SW3,"Metropolitan Police","Thames Water",9C3XFRXQ+X7
SW3 1AT,Yes,51.500112,-0.16168,527698,179510,TQ276795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,22,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,1,2019-11-23,"Knightsbridge",0.154949,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+28
SW3 1AU,Yes,51.500688,-0.160605,527771,179576,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,22,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014084,E14000768,18433,1,1,2019-11-23,"Knightsbridge",0.0742198,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+7Q
SW3 1AW,Yes,51.500665,-0.161398,527716,179572,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",23,15,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.0919315,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+7C
SW3 1AX,Yes,51.499853,-0.161229,527730,179482,TQ277794,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",58,31,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,22,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.171398,SW,SW3,"Metropolitan Police","Thames Water",9C3XFRXQ+WG
SW3 1AY,No,51.500943,-0.163058,527600,179600,TQ276796,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1981-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,23,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.171774,SW,SW3,"Metropolitan Police","",9C3XGR2P+9Q
SW3 1AZ,No,51.500943,-0.163058,527600,179600,TQ276796,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1993-01-01,1994-05-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,23,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.171774,SW,SW3,"Metropolitan Police","",9C3XGR2P+9Q
SW3 1BA,Yes,51.499515,-0.161473,527714,179444,TQ277794,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",4,4,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,22,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014085,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.211961,SW,SW3,"Metropolitan Police","Thames Water",9C3XFRXQ+RC
SW3 1BB,Yes,51.498543,-0.161906,527687,179335,TQ276793,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014087,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.324045,SW,SW3,"Metropolitan Police","Thames Water",9C3XFRXQ+C6
SW3 1BD,No,51.500021,-0.161655,527700,179500,TQ276794,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1994-12-01,1995-12-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,22,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,8,1,2019-11-23,"Knightsbridge",0.163293,SW,SW3,"Metropolitan Police","",9C3XGR2Q+28
SW3 1BJ,No,51.500941,-0.162929,527609,179600,TQ276796,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,2007-05-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,23,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,1,1,2019-11-23,"Knightsbridge",0.163254,SW,SW3,"Metropolitan Police","",9C3XGR2P+9R
SW3 1BL,No,51.500941,-0.162929,527609,179600,TQ276796,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,2002-05-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,23,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,1,1,2019-11-23,"Knightsbridge",0.163254,SW,SW3,"Metropolitan Police","",9C3XGR2P+9R
SW3 1BN,No,51.500941,-0.162929,527609,179600,TQ276796,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,2002-05-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,23,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,1,1,2019-11-23,"Knightsbridge",0.163254,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2P+9R
SW3 1BP,No,51.500044,-0.163095,527600,179500,TQ275794,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1985-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,24,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.222452,SW,SW3,"Metropolitan Police","",9C3XGR2P+2Q
SW3 1BS,No,51.500941,-0.162929,527609,179600,TQ276796,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1999-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,23,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,1,1,2019-11-23,"Knightsbridge",0.163254,SW,SW3,"Metropolitan Police","",9C3XGR2P+9R
SW3 1BW,Yes,51.500631,-0.162667,527628,179566,TQ276795,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,,"Westminster, unparished area","",9,5,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,23,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,1,0,2019-11-23,"Knightsbridge",0.160181,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2P+7W
SW3 1BX,No,51.500044,-0.163095,527600,179500,TQ275794,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1986-04-01,1986-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,24,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.222452,SW,SW3,"Metropolitan Police","",9C3XGR2P+2Q
SW3 1DA,No,51.50073,-0.161554,527705,179579,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,1998-12-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,1,2019-11-23,"Knightsbridge",0.0927773,SW,SW3,"Metropolitan Police","",9C3XGR2Q+79
SW3 1DB,Yes,51.500284,-0.162336,527652,179528,TQ276795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,23,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.165919,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+43
SW3 1DD,No,51.488258,-0.168466,527260,178180,TQ272781,"Greater London","Kensington and Chelsea","Stanley",E09000020,E05009405,England,E11000009,"Chelsea and Fulham",1980-01-01,2005-08-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 019E","Urban major conurbation",London,13,1,E01002914,,E02000595,"Kensington and Chelsea 019",E43000210,E00014653,E14000629,24363,1,1,2019-11-23,"South Kensington",0.748225,SW,SW3,"Metropolitan Police","",9C3XFRQJ+8J
SW3 1DE,Yes,51.500925,-0.161359,527718,179601,TQ277796,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",1,1,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.067749,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+9F
SW3 1DF,No,51.50092,-0.161618,527700,179600,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,1997-07-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,8,1,2019-11-23,"Knightsbridge",0.0817658,SW,SW3,"Metropolitan Police","",9C3XGR2Q+99
SW3 1DG,No,51.50092,-0.161618,527700,179600,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,1981-12-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,8,1,2019-11-23,"Knightsbridge",0.0817658,SW,SW3,"Metropolitan Police","",9C3XGR2Q+99
SW3 1DH,No,51.50092,-0.161618,527700,179600,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1981-06-01,1990-12-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,8,1,2019-11-23,"Knightsbridge",0.0817658,SW,SW3,"Metropolitan Police","",9C3XGR2Q+99
SW3 1DL,No,51.500801,-0.161465,527711,179587,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,2004-02-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,1,2019-11-23,"Knightsbridge",0.0827919,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+8C
SW3 1DP,Yes,51.500545,-0.161763,527691,179558,TQ276795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",6,4,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,22,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.117785,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+67
SW3 1DR,No,51.50092,-0.161618,527700,179600,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1991-09-01,1995-07-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,8,1,2019-11-23,"Knightsbridge",0.0817658,SW,SW3,"Metropolitan Police","",9C3XGR2Q+99
SW3 1DS,No,51.500044,-0.163095,527600,179500,TQ275794,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1981-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,24,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.222452,SW,SW3,"Metropolitan Police","",9C3XGR2P+2Q
SW3 1DT,No,51.500066,-0.164534,527500,179500,TQ275794,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1981-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,21,1,E01004689,,E02000978,"Westminster 019",E43000236,E00023681,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.303574,SW,SW3,"Metropolitan Police","",9C3XGR2P+25
SW3 1DU,No,51.500066,-0.164534,527500,179500,TQ275794,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1986-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,21,1,E01004689,,E02000978,"Westminster 019",E43000236,E00023681,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.303574,SW,SW3,"Metropolitan Police","",9C3XGR2P+25
SW3 1DX,No,51.500066,-0.164534,527500,179500,TQ275794,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1981-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,21,1,E01004689,,E02000978,"Westminster 019",E43000236,E00023681,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.303574,SW,SW3,"Metropolitan Police","",9C3XGR2P+25
SW3 1DY,No,51.501228,-0.160612,527769,179636,TQ277796,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,2002-05-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014084,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.0145605,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+FQ
SW3 1DZ,No,51.500066,-0.164534,527500,179500,TQ275794,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1981-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,21,1,E01004689,,E02000978,"Westminster 019",E43000236,E00023681,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.303574,SW,SW3,"Metropolitan Police","",9C3XGR2P+25
SW3 1EA,No,51.500066,-0.164534,527500,179500,TQ275794,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1981-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,21,1,E01004689,,E02000978,"Westminster 019",E43000236,E00023681,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.303574,SW,SW3,"Metropolitan Police","",9C3XGR2P+25
SW3 1EB,No,51.500943,-0.163058,527600,179600,TQ276796,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1991-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,23,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.171774,SW,SW3,"Metropolitan Police","",9C3XGR2P+9Q
SW3 1ED,Yes,51.501614,-0.160471,527778,179679,TQ277796,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",5,4,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,22,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014084,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.03175,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+JR
SW3 1EE,No,51.500943,-0.163058,527600,179600,TQ276796,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1981-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,23,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.171774,SW,SW3,"Metropolitan Police","",9C3XGR2P+9Q
SW3 1EF,No,51.500044,-0.163095,527600,179500,TQ275794,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1994-05-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,24,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.222452,SW,SW3,"Metropolitan Police","",9C3XGR2P+2Q
SW3 1EG,No,51.500044,-0.163095,527600,179500,TQ275794,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1982-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,24,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.222452,SW,SW3,"Metropolitan Police","",9C3XGR2P+2Q
SW3 1EH,No,51.499168,-0.16457,527500,179400,TQ275794,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,1983-12-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012B","Urban major conurbation",London,21,1,E01002819,,E02000588,"Kensington and Chelsea 012",E43000210,E00014089,E14000768,21458,8,1,2019-11-23,"Knightsbridge",0.363371,SW,SW3,"Metropolitan Police","",9C3XFRXP+M5
