Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code
HA0 1BE,No,51.539018,-0.302842,517800,183600,TQ177835,"Alperton","Brent, unparished area",1994-05-01,1995-01-01,33,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
HA0 1BF,No,51.539018,-0.302842,517800,183600,TQ177835,"Alperton","Brent, unparished area",1994-12-01,1995-07-01,33,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
HA0 1BG,No,51.539775,-0.301747,517874,183686,TQ178836,"Alperton","Brent, unparished area",1992-01-01,1998-12-01,35,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1BH,Yes,51.53772,-0.300632,517957,183459,TQ179834,"Alperton","Brent, unparished area",1980-01-01,,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1BJ,Yes,51.541116,-0.304884,517653,183830,TQ176838,"Alperton","Brent, unparished area",1980-01-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1BL,Yes,51.541328,-0.304616,517671,183854,TQ176838,"Alperton","Brent, unparished area",1980-01-01,,34,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1BN,Yes,51.538716,-0.305622,517608,183562,TQ176835,"Alperton","Brent, unparished area",1980-01-01,,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1BP,No,51.538465,-0.305025,517650,183535,TQ176835,"Alperton","Brent, unparished area",1980-01-01,2000-10-01,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1BQ,No,51.551408,-0.306477,517516,184972,TQ175849,"Sudbury","Brent, unparished area",2001-12-01,2018-12-01,48,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1BX,Yes,51.537266,-0.304219,517709,183403,TQ177834,"Alperton","Brent, unparished area",1995-01-01,,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1BY,No,51.537178,-0.304972,517657,183392,TQ176833,"Alperton","Brent, unparished area",1990-02-01,1998-12-01,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1BZ,Yes,51.54366,-0.306116,517561,184111,TQ175841,"Alperton","Brent, unparished area",1988-03-01,,36,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1DA,No,51.538517,-0.295579,518305,183556,TQ183835,"Alperton","Brent, unparished area",1995-07-01,1997-12-01,31,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01000478
HA0 1DB,Yes,51.539143,-0.304669,517673,183611,TQ176836,"Alperton","Brent, unparished area",1980-01-01,,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1DX,Yes,51.533218,-0.305941,517600,182950,TQ176829,"Alperton","Brent, unparished area",1980-01-01,,26,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1DY,No,51.533625,-0.303042,517800,183000,TQ178829,"Alperton","Brent, unparished area",1980-01-01,1990-12-01,25,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000472
HA0 1DZ,No,51.533821,-0.302905,517809,183022,TQ178830,"Alperton","Brent, unparished area",1980-01-01,1999-12-01,25,England,2019-11-23,"Approximate to within 50 metres",E01000472
HA0 1EA,No,51.532771,-0.306174,517585,182900,TQ175828,"Alperton","Brent, unparished area",1980-01-01,1999-06-01,25,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1EB,No,51.533605,-0.306013,517594,182993,TQ175829,"Alperton","Brent, unparished area",1980-01-01,2007-07-01,26,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1ED,No,51.537241,-0.30435,517700,183400,TQ176833,"Alperton","Brent, unparished area",1980-01-01,1995-07-01,31,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
HA0 1EE,No,51.537434,-0.304025,517722,183422,TQ177834,"Alperton","Brent, unparished area",1980-01-01,2006-09-01,32,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1EF,Yes,51.537484,-0.303706,517744,183428,TQ177834,"Alperton","Brent, unparished area",2000-06-01,,32,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1EG,No,51.539896,-0.301367,517900,183700,TQ179836,"Alperton","Brent, unparished area",1980-01-01,1995-12-01,35,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
HA0 1EH,Yes,51.539828,-0.301673,517879,183692,TQ178836,"Alperton","Brent, unparished area",1980-01-01,,35,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1EJ,No,51.533584,-0.30016,518000,183000,TQ180829,"Alperton","Brent, unparished area",1980-01-01,1995-12-01,26,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000472
HA0 1EL,No,51.532747,-0.304517,517700,182900,TQ176828,"Alperton","Brent, unparished area",1980-01-01,1995-07-01,26,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000472
HA0 1EN,No,51.534545,-0.30445,517700,183100,TQ177830,"Alperton","Brent, unparished area",1995-07-01,1996-12-01,25,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000472
HA0 1EP,Yes,51.541931,-0.3022,517837,183925,TQ178839,"Wembley Central","Brent, unparished area",2006-10-01,,41,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000632
HA0 1EQ,No,51.538517,-0.295579,518305,183556,TQ183835,"Alperton","Brent, unparished area",1991-01-01,1997-12-01,31,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01000478
HA0 1ER,Yes,51.533405,-0.305242,517648,182972,TQ176829,"Alperton","Brent, unparished area",1995-12-01,,25,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1ES,Yes,51.533876,-0.301626,517898,183030,TQ178830,"Alperton","Brent, unparished area",1994-12-01,,25,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1ET,Yes,51.538248,-0.298112,518130,183522,TQ181835,"Alperton","Brent, unparished area",1980-01-01,,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1EU,Yes,51.536752,-0.297923,518147,183356,TQ181833,"Alperton","Brent, unparished area",1980-01-01,,28,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1EW,Yes,51.536542,-0.30328,517776,183324,TQ177833,"Alperton","Brent, unparished area",2014-08-01,,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1EX,No,51.538235,-0.29905,518065,183519,TQ180835,"Alperton","Brent, unparished area",1980-01-01,2015-11-01,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1EY,No,51.534043,-0.300864,517950,183050,TQ179830,"Alperton","Brent, unparished area",1990-07-01,1996-06-01,25,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000472
HA0 1EZ,Yes,51.536916,-0.298046,518138,183374,TQ181833,"Alperton","Brent, unparished area",1980-01-01,,28,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1FA,No,51.551185,-0.307235,517464,184946,TQ174849,"Sudbury","Brent, unparished area",2000-12-01,2004-01-01,50,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1FB,No,51.551185,-0.307235,517464,184946,TQ174849,"Sudbury","Brent, unparished area",2000-12-01,2004-01-01,50,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1FD,No,51.537714,-0.304087,517717,183453,TQ177834,"Alperton","Brent, unparished area",1980-01-01,2000-06-01,32,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1FE,No,51.551185,-0.307235,517464,184946,TQ174849,"Sudbury","Brent, unparished area",2001-06-01,2002-03-01,50,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1FF,No,51.538526,-0.295564,518306,183557,TQ183835,"Alperton","Brent, unparished area",1998-12-01,2000-06-01,31,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01000478
HA0 1FG,No,51.538526,-0.295564,518306,183557,TQ183835,"Alperton","Brent, unparished area",1998-12-01,2001-02-01,31,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01000478
HA0 1FH,No,51.551185,-0.307235,517464,184946,TQ174849,"Sudbury","Brent, unparished area",1998-06-01,2007-09-01,50,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1FJ,No,51.538526,-0.295564,518306,183557,TQ183835,"Alperton","Brent, unparished area",1980-01-01,2000-09-01,31,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01000478
HA0 1FL,No,51.551185,-0.307235,517464,184946,TQ174849,"Sudbury","Brent, unparished area",1997-12-01,2001-08-01,50,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1FN,No,51.538526,-0.295564,518306,183557,TQ183835,"Alperton","Brent, unparished area",1997-12-01,1999-06-01,31,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01000478
HA0 1FP,No,51.538526,-0.295564,518306,183557,TQ183835,"Alperton","Brent, unparished area",1999-06-01,2000-09-01,31,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01000478
HA0 1FQ,No,51.551185,-0.307235,517464,184946,TQ174849,"Sudbury","Brent, unparished area",1998-06-01,2008-03-01,50,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1FR,No,51.538766,-0.285547,519000,183600,TQ190835,"Alperton","Brent, unparished area",1980-01-01,1994-05-01,29,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000477
HA0 1FS,No,51.538526,-0.295564,518306,183557,TQ183835,"Alperton","Brent, unparished area",1999-12-01,2001-01-01,31,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01000478
HA0 1FT,No,51.551185,-0.307235,517464,184946,TQ174849,"Sudbury","Brent, unparished area",2000-06-01,2001-08-01,50,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1FW,No,51.551185,-0.307235,517464,184946,TQ174849,"Sudbury","Brent, unparished area",2001-12-01,2006-01-01,50,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1FX,No,51.541116,-0.282647,519195,183866,TQ191838,"Alperton","Brent, unparished area",1980-01-01,1999-06-01,34,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000477
HA0 1FY,No,51.538766,-0.285547,519000,183600,TQ190835,"Alperton","Brent, unparished area",1980-01-01,1994-05-01,29,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000477
HA0 1FZ,No,51.538766,-0.285547,519000,183600,TQ190835,"Alperton","Brent, unparished area",1980-01-01,1991-12-01,29,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000477
HA0 1GA,No,51.539686,-0.286955,518900,183700,TQ188836,"Alperton","Brent, unparished area",1987-04-01,1994-05-01,31,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000476
HA0 1GB,No,51.537241,-0.30435,517700,183400,TQ176833,"Alperton","Brent, unparished area",1997-08-01,2000-09-01,31,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
HA0 1GD,No,51.538787,-0.286989,518900,183600,TQ188835,"Alperton","Brent, unparished area",1980-01-01,1992-12-01,30,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000477
HA0 1GE,No,51.538015,-0.295669,518300,183500,TQ183834,"Alperton","Brent, unparished area",1981-06-01,1983-12-01,30,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000478
HA0 1GF,No,51.539618,-0.302647,517812,183667,TQ178836,"Alperton","Brent, unparished area",1982-03-01,2000-06-01,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1GG,No,51.537973,-0.292787,518500,183500,TQ185834,"Alperton","Brent, unparished area",1993-01-01,1996-12-01,29,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000478
HA0 1GH,Yes,51.537737,-0.298728,518089,183464,TQ180834,"Alperton","Brent, unparished area",2019-05-01,,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1GJ,No,51.539484,-0.282377,519218,183685,TQ192836,"Alperton","Brent, unparished area",1980-01-01,2007-07-01,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000477
HA0 1GL,Yes,51.537918,-0.298217,518124,183485,TQ181834,"Alperton","Brent, unparished area",2019-05-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1GN,No,51.539618,-0.302647,517812,183667,TQ178836,"Alperton","Brent, unparished area",1993-01-01,1997-06-01,33,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
HA0 1GP,No,51.53977,-0.29272,518500,183700,TQ184836,"Alperton","Brent, unparished area",1980-01-01,1991-12-01,35,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000478
HA0 1GQ,No,51.538724,-0.282665,519200,183600,TQ192835,"Alperton","Brent, unparished area",1993-01-01,1996-06-01,29,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000477
HA0 1GR,Yes,51.537494,-0.298088,518134,183438,TQ181834,"Alperton","Brent, unparished area",2019-08-01,,27,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1GS,No,51.539728,-0.289837,518700,183700,TQ187836,"Alperton","Brent, unparished area",1981-12-01,1992-12-01,31,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000476
HA0 1GT,No,51.539618,-0.302647,517812,183667,TQ178836,"Alperton","Brent, unparished area",1995-01-01,1997-06-01,33,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
HA0 1GU,No,51.551185,-0.307235,517464,184946,TQ174849,"Sudbury","Brent, unparished area",1995-01-01,2004-08-01,50,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1GW,No,51.540869,-0.286665,518917,183832,TQ189838,"Alperton","Brent, unparished area",1980-01-01,2004-05-01,32,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000476
HA0 1GX,No,51.539618,-0.302647,517812,183667,TQ178836,"Alperton","Brent, unparished area",1995-01-01,1997-06-01,33,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
HA0 1GY,No,51.539618,-0.302647,517812,183667,TQ178836,"Alperton","Brent, unparished area",1995-01-01,1997-06-01,33,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
HA0 1GZ,No,51.538787,-0.286989,518900,183600,TQ188835,"Alperton","Brent, unparished area",1995-01-01,1996-06-01,30,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000477
HA0 1HA,Yes,51.537589,-0.297811,518153,183449,TQ181834,"Alperton","Brent, unparished area",2019-05-01,,27,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000478
HA0 1HB,Yes,51.541132,-0.296101,518262,183846,TQ182838,"Alperton","Brent, unparished area",1998-06-01,,36,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000478
HA0 1HD,Yes,51.534882,-0.297949,518150,183148,TQ181831,"Alperton","Brent, unparished area",2007-05-01,,23,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1HE,No,51.537766,-0.299615,518027,183466,TQ180834,"Alperton","Brent, unparished area",2001-12-01,2002-12-01,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1HF,Yes,51.540425,-0.290639,518643,183776,TQ186837,"Alperton","Brent, unparished area",2019-09-01,,34,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000478
HA0 1HG,Yes,51.5369,-0.300022,518001,183369,TQ180833,"Alperton","Brent, unparished area",2005-11-01,,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1HH,No,51.537769,-0.297971,518141,183469,TQ181834,"Alperton","Brent, unparished area",1980-01-01,2008-10-01,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1HJ,No,51.535339,-0.297211,518200,183200,TQ182831,"Alperton","Brent, unparished area",1980-01-01,1986-12-01,25,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000472
HA0 1HL,Yes,51.537124,-0.298125,518132,183397,TQ181833,"Alperton","Brent, unparished area",1980-01-01,,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1HN,Yes,51.537442,-0.297104,518202,183434,TQ182834,"Alperton","Brent, unparished area",1980-01-01,,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000478
HA0 1HP,Yes,51.537887,-0.296689,518230,183484,TQ182834,"Alperton","Brent, unparished area",1980-01-01,,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000478
HA0 1HQ,Yes,51.537163,-0.302017,517862,183395,TQ178833,"Alperton","Brent, unparished area",1996-06-01,,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1HR,Yes,51.538313,-0.297028,518205,183531,TQ182835,"Alperton","Brent, unparished area",1980-01-01,,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000478
HA0 1HS,Yes,51.537194,-0.296009,518279,183408,TQ182834,"Alperton","Brent, unparished area",1980-01-01,,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1HT,Yes,51.538363,-0.293046,518481,183543,TQ184835,"Alperton","Brent, unparished area",1980-01-01,,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000478
HA0 1HU,Yes,51.53942,-0.290296,518669,183665,TQ186836,"Alperton","Brent, unparished area",1980-01-01,,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000476
HA0 1HW,Yes,51.537009,-0.297033,518208,183386,TQ182833,"Alperton","Brent, unparished area",1980-01-01,,28,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1HX,Yes,51.539141,-0.287688,518851,183638,TQ188836,"Alperton","Brent, unparished area",1980-01-01,,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000477
HA0 1HY,Yes,51.539365,-0.289606,518717,183660,TQ187836,"Alperton","Brent, unparished area",1980-01-01,,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000471
HA0 1HZ,Yes,51.539062,-0.290396,518663,183625,TQ186836,"Alperton","Brent, unparished area",1980-01-01,,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000471
HA0 1JA,Yes,51.538733,-0.291245,518605,183587,TQ186835,"Alperton","Brent, unparished area",1980-01-01,,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000471
HA0 1JB,Yes,51.538395,-0.292108,518546,183548,TQ185835,"Alperton","Brent, unparished area",1980-01-01,,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000471
HA0 1JD,Yes,51.538101,-0.292941,518489,183514,TQ184835,"Alperton","Brent, unparished area",1980-01-01,,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000478
HA0 1JE,Yes,51.537928,-0.294058,518412,183493,TQ184834,"Alperton","Brent, unparished area",1980-01-01,,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000478
HA0 1JF,Yes,51.535648,-0.295541,518315,183237,TQ183832,"Alperton","Brent, unparished area",1980-01-01,,26,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JG,Yes,51.535036,-0.294872,518363,183170,TQ183831,"Alperton","Brent, unparished area",1980-01-01,,24,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JH,Yes,51.534724,-0.3044,517703,183120,TQ177831,"Alperton","Brent, unparished area",1980-01-01,,25,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JJ,Yes,51.53515,-0.299655,518031,183175,TQ180831,"Alperton","Brent, unparished area",1980-01-01,,25,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JL,No,51.534248,-0.300683,517962,183073,TQ179830,"Alperton","Brent, unparished area",1996-06-01,2002-05-01,25,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JN,No,51.537074,-0.292821,518500,183400,TQ184833,"Alperton","Brent, unparished area",1990-02-01,1992-12-01,28,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000471
HA0 1JQ,Yes,51.535943,-0.297895,518151,183266,TQ181832,"Alperton","Brent, unparished area",1980-01-01,,26,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JR,Yes,51.535993,-0.299494,518040,183269,TQ180832,"Alperton","Brent, unparished area",1980-01-01,,27,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JS,Yes,51.53648,-0.298957,518076,183324,TQ180833,"Alperton","Brent, unparished area",1980-01-01,,28,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JT,Yes,51.5366,-0.298592,518101,183338,TQ181833,"Alperton","Brent, unparished area",1980-01-01,,28,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JU,Yes,51.53692,-0.298816,518085,183373,TQ180833,"Alperton","Brent, unparished area",1980-01-01,,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JW,Yes,51.538648,-0.287268,518881,183584,TQ188835,"Alperton","Brent, unparished area",1986-07-01,,30,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000477
HA0 1JX,Yes,51.536227,-0.298245,518126,183297,TQ181832,"Alperton","Brent, unparished area",1980-01-01,,27,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000472
HA0 1JY,No,51.537158,-0.298585,518100,183400,TQ181833,"Alperton","Brent, unparished area",1981-12-01,1994-05-01,29,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000472
HA0 1JZ,No,51.53536,-0.298652,518100,183200,TQ181831,"Alperton","Brent, unparished area",1980-01-01,1994-05-01,25,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000472
HA0 1LA,No,51.541341,-0.279625,519404,183896,TQ194838,"Alperton","Brent, unparished area",2000-12-01,2005-07-01,29,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000477
HA0 1LB,Yes,51.538739,-0.302232,517843,183570,TQ178835,"Alperton","Brent, unparished area",2006-10-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1LD,No,51.536259,-0.298619,518100,183300,TQ180832,"Alperton","Brent, unparished area",1980-01-01,1992-12-01,27,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000472
HA0 1LE,No,51.539686,-0.286955,518900,183700,TQ188836,"Alperton","Brent, unparished area",1994-12-01,1995-01-01,31,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000476
HA0 1LF,Yes,51.538739,-0.302232,517843,183570,TQ178835,"Alperton","Brent, unparished area",2006-10-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
